Тип двигателя,2p,n_синхр,Напряжение В,Ном. мощность кВт,Ном. ток А (380/220 В; 380/660 В),n_ном об/мин,КПД %,cos φ,M_макс/M_ном,M_пуск/M_ном,I_пуск/I_ном,Вес кг
АИР 80A2 1081/2081,2,3000,220/380,1.5,"6,01/3,48",2840,78,0.84,2.3,2.2,6.7,"16/17"
АИР 80B2 1081/2081,2,3000,220/380,2.2,"8,39/4,85",2840,81,0.85,2.3,2.2,7,"17/18"
АИР 90L2 1081/2081,2,3000,220/380,3,"11/6,39",2830,83,0.86,2.3,2.2,7,"21/22"
АИР 100S2 1081/2081,2,3000,220/380,4,"14/8,12",2880,85,0.88,2.3,2.2,7.5,"31,1/33"
АИР 100L2 1081/2081,2,3000,220/380,5.5,"19,1/11",2880,86,0.88,2.3,2.2,7.5,"34,6/36"
АИР 112M2 1081/2081,2,3000,220/380,7.5,"25,7/14,9",2885,88,0.87,2.3,2.2,7,"48/50"
АИР 132M2 1081/2081,2,3000,380/660,11,"22,1/12,7",2920,88,0.86,2.3,2.2,7.5,"68,5/71"
АИР 160S2 1081/2081,2,3000,380/660,15,"28,6/16,5",2930,89,0.89,2.3,2.2,7.5,"115/119"
АИР 160M2 1081,2,3000,380/660,18.5,"34,7/20",2935,90,0.9,2.3,2.2,7.5,130
АИР 180S2 1081,2,3000,380/660,22,"41/23,6",2945,90,0.9,2.3,2.2,7.5,156
АИР 180M2 1081,2,3000,380/660,30,"56/32,2",2945,90,0.9,2.3,2.2,7.5,188
АИР 200M2 1081,2,3000,380/660,37,"69,1/29,8",2950,92,0.88,2.3,2.2,7,230.5
АИР 200L2 1081,2,3000,380/660,45,"84/48,4",2955,92,0.88,2.3,2.2,7,250
АИР 225M2 1081,2,3000,380/660,55,"99,8/57,5",2960,93,0.9,2.3,2.2,7.5,280
АИР 250S2 1081,2,3000,380/660,75,"138/79,3",2970,93,0.89,2.4,2.2,7,350
АИР 250M2 1081,2,3000,380/660,90,"163/94,1",2970,93,0.9,2.4,2.2,7,470
АИР 280S2 1081,2,3000,380/660,110,"201/116",2980,93,0.89,2.2,2.2,7,528
АИР 280M2 1081,2,3000,380/660,132,"240/138",2980,94,0.89,2.2,1.8,7,618
АИР 315S2 1081,2,3000,380/660,160,"279/160",2975,94,0.92,2.2,1.8,7.1,830
АИР 315M2 1081,2,3000,380/660,200,"348/200",2975,95,0.92,2.2,1.8,7.1,1240
АИР 80A4 1081/2081,4,1500,220/380,1.1,"4,93/2,86",1390,76,0.77,2.3,2.3,6.2,"14/15"
АИР 80B4 1081/2081,4,1500,220/380,1.5,"6,39/3,7",1390,78,0.79,2.3,2.3,6.5,"15,8/17"
АИР 90L4 1081/2081,4,1500,220/380,2.2,"8,8/5,1",1410,80,0.82,2.3,2.3,7,"22,5/24"
АИР 100S4 1081/2081,4,1500,220/380,3,"11,7/6,78",1430,82,0.82,2.3,2.2,7,"25,5/27"
АИР 100L4 1081/2081,4,1500,220/380,4,"15,2/8,82",1430,84,0.82,2.3,2.2,7,"31,3/33"
АИР 112M4 1081/2081,4,1500,220/380,5.5,"20,8/11,8",1435,86,0.82,2.3,2.3,7,"52/54"
АИР 132S4 1081/2081,4,1500,380/660,7.5,"15,8/9,09",1455,87,0.83,2.3,2.3,7,"66,5/69"
АИР 132M4 1081/2081,4,1500,380/660,11,"22,9/13,2",1455,88,0.83,2.2,2.2,7,"75,7/78"
АИР 160S4 1081/2081,4,1500,380/660,15,"30/17,2",1460,89,0.85,2.2,2.2,7.5,"125/128"
