measurement_id,base_id,experiment,state,load_condition,phase,num_observations,file_path,engine_cfg_path
1727864902_1,1727864902,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864902.csv,./dataset/engine_2/engine.yml
1727864862_1,1727864862,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864862.csv,./dataset/engine_2/engine.yml
1727864642_1,1727864642,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864642.csv,./dataset/engine_2/engine.yml
1727864722_1,1727864722,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864722.csv,./dataset/engine_2/engine.yml
1727864522_1,1727864522,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864522.csv,./dataset/engine_2/engine.yml
1727864682_1,1727864682,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864682.csv,./dataset/engine_2/engine.yml
1727864962_1,1727864962,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864962.csv,./dataset/engine_2/engine.yml
1727864802_1,1727864802,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864802.csv,./dataset/engine_2/engine.yml
1727864542_1,1727864542,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864542.csv,./dataset/engine_2/engine.yml
1727864782_1,1727864782,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864782.csv,./dataset/engine_2/engine.yml
1727864622_1,1727864622,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864622.csv,./dataset/engine_2/engine.yml
1727864583_1,1727864583,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864583.csv,./dataset/engine_2/engine.yml
1727864742_1,1727864742,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864742.csv,./dataset/engine_2/engine.yml
1727864982_1,1727864982,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864982.csv,./dataset/engine_2/engine.yml
1727864822_1,1727864822,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864822.csv,./dataset/engine_2/engine.yml
1727864942_1,1727864942,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864942.csv,./dataset/engine_2/engine.yml
1727864562_1,1727864562,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864562.csv,./dataset/engine_2/engine.yml
1727864762_1,1727864762,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864762.csv,./dataset/engine_2/engine.yml
1727864602_1,1727864602,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864602.csv,./dataset/engine_2/engine.yml
1727864842_1,1727864842,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864842.csv,./dataset/engine_2/engine.yml
1727864922_1,1727864922,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864922.csv,./dataset/engine_2/engine.yml
1727864882_1,1727864882,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864882.csv,./dataset/engine_2/engine.yml
1727864702_1,1727864702,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864702.csv,./dataset/engine_2/engine.yml
1727864662_1,1727864662,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864662.csv,./dataset/engine_2/engine.yml
1727864502_1,1727864502,experiment_1,bearing defect,80,1,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/1/1727864502.csv,./dataset/engine_2/engine.yml
1727864902_3,1727864902,experiment_1,bearing defect,80,3,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/3/1727864902.csv,./dataset/engine_2/engine.yml
1727864862_3,1727864862,experiment_1,bearing defect,80,3,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/3/1727864862.csv,./dataset/engine_2/engine.yml
1727864642_3,1727864642,experiment_1,bearing defect,80,3,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/3/1727864642.csv,./dataset/engine_2/engine.yml
1727864722_3,1727864722,experiment_1,bearing defect,80,3,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/3/1727864722.csv,./dataset/engine_2/engine.yml
1727864522_3,1727864522,experiment_1,bearing defect,80,3,16384,./dataset/engine_2/experiment_1/current/3rd_load_80/3/1727864522.csv,./dataset/engine_2/engine.yml
